ime,dr≈æava,spol,disciplina,zlate,srebrne,bronaste,skupaj
HODGKINSON Keely,Great Britain,F,Athletics,1,0,0,1
MAHER Ben,Great Britain,M,Equestrian,1,0,0,1
MARCHANT Katy,Great Britain,F,Cycling Track,1,0,0,1
McEWEN Tom,Great Britain,M,Equestrian,1,0,0,1
McMILLAN Jack,Great Britain,M,Swimming,1,0,0,1
PAGE Bryony,Great Britain,F,Trampoline Gymnastics,1,0,0,1
PIDCOCK Thomas,Great Britain,M,Cycling Mountain Bike,1,0,0,1
ROBERTS Toby,Great Britain,M,Sport Climbing,1,0,0,1
RUDKIN James,Great Britain,M,Rowing,1,0,0,1
SCOTT Hannah,Great Britain,F,Rowing,1,0,0,1
BEKAURI Lasha,Georgia,M,Judo,1,0,0,1
PETRIASHVILI Geno,Georgia,M,Wrestling,1,0,0,1
TALAKHADZE Lasha,Georgia,M,Weightlifting,1,0,0,1
BRUNCKHORST Svenja,Germany,F,3x3 Basketball,1,0,0,1
GREINACHER Sonja,Germany,F,3x3 Basketball,1,0,0,1
HELLWIG Tim,Germany,M,Triathlon,1,0,0,1
JUNG Michael,Germany,M,Equestrian,1,0,0,1
KUKUK Christian,Germany,M,Equestrian,1,0,0,1
LIEBSCHER-LUCZ Tom,Germany,M,Canoe Sprint,1,0,0,1
LINDEMANN Laura,Germany,F,Triathlon,1,0,0,1
LUEHRS Lasse,Germany,M,Triathlon,1,0,0,1
MAERTENS Lukas,Germany,M,Swimming,1,0,0,1
MEVIUS Elisa,Germany,F,3x3 Basketball,1,0,0,1
OGUNLEYE Yemisi,Germany,F,Athletics,1,0,0,1
REICHERT Marie,Germany,F,3x3 Basketball,1,0,0,1
RENDSCHMIDT Max,Germany,M,Canoe Sprint,1,0,0,1
TERTSCH Lisa,Germany,F,Triathlon,1,0,0,1
VARFOLOMEEV Darja,Germany,F,Rhythmic Gymnastics,1,0,0,1
WANDRES Frederic,Germany,M,Equestrian,1,0,0,1
ZEIDLER Oliver,Germany,M,Rowing,1,0,0,1
TENTOGLOU Miltiadis,Greece,M,Athletics,1,0,0,1
RUANO OLIVA Adriana,Guatemala,F,Shooting,1,0,0,1
CHEUNG Ka Long,"Hong Kong, China",M,Fencing,1,0,0,1
KONG Man Wai Vivian,"Hong Kong, China",F,Fencing,1,0,0,1
ANDRASFI Tibor,Hungary,M,Fencing,1,0,0,1
GULYAS Michelle,Hungary,F,Modern Pentathlon,1,0,0,1
KOCH Mate Tamas,Hungary,M,Fencing,1,0,0,1
KOS Hubert,Hungary,M,Swimming,1,0,0,1
MARTON Viviana,Hungary,F,Taekwondo,1,0,0,1
NAGY David,Hungary,M,Fencing,1,0,0,1
RASOVSZKY Kristof,Hungary,M,Marathon Swimming,1,0,0,1
SIKLOSI Gergely,Hungary,M,Fencing,1,0,0,1
JUNIANSYAH Rizki,Indonesia,M,Weightlifting,1,0,0,1
LEONARDO Veddriq,Indonesia,M,Sport Climbing,1,0,0,1
ESMAEILI LEIVESI Saeid,IR Iran,M,Wrestling,1,0,0,1
SALIMI Arian,IR Iran,M,Taekwondo,1,0,0,1
SARAVI Mohammadhadi,IR Iran,M,Wrestling,1,0,0,1
HARRINGTON Kellie,Ireland,F,Boxing,1,0,0,1
Mc CARTHY Fintan,Ireland,M,Rowing,1,0,0,1
Mc CLENAGHAN Rhys,Ireland,M,Artistic Gymnastics,1,0,0,1
O DONOVAN Paul,Ireland,M,Rowing,1,0,0,1
REUVENY Tom,Israel,M,Sailing,1,0,0,1
ANTROPOVA Ekaterina,Italy,F,Volleyball,1,0,0,1
BACOSI Diana,Italy,F,Shooting,1,0,0,1
BANTI Caterina Marianna,Italy,F,Sailing,1,0,0,1
BELLANDI Alice,Italy,F,Judo,1,0,0,1
BOSETTI Caterina Chiara,Italy,F,Volleyball,1,0,0,1
CAMBI Carlotta,Italy,F,Volleyball,1,0,0,1
CONSONNI Chiara,Italy,F,Cycling Track,1,0,0,1
DANESI Anna,Italy,F,Volleyball,1,0,0,1
de GENNARO Giovanni,Italy,M,Canoe Slalom,1,0,0,1
de GENNARO Monica,Italy,F,Volleyball,1,0,0,1
EGONU Paola Ogechi,Italy,F,Volleyball,1,0,0,1
ERRANI Sara,Italy,F,Tennis,1,0,0,1
FAHR Sarah Luisa,Italy,F,Volleyball,1,0,0,1
FIAMINGO Rossella,Italy,F,Fencing,1,0,0,1
GIOVANNINI Gaia,Italy,F,Volleyball,1,0,0,1
GUAZZINI Vittoria,Italy,F,Cycling Track,1,0,0,1
LUBIAN Marina,Italy,F,Volleyball,1,0,0,1
MAGGETTI Marta,Italy,F,Sailing,1,0,0,1
MARTINENGHI Nicolo,Italy,M,Swimming,1,0,0,1
NAVARRIA Mara,Italy,F,Fencing,1,0,0,1
OMORUYI Oghosasere Loveth,Italy,F,Volleyball,1,0,0,1
ORRO Alessia,Italy,F,Volleyball,1,0,0,1
PAOLINI Jasmine,Italy,F,Tennis,1,0,0,1
RIZZI Giulia,Italy,F,Fencing,1,0,0,1
ROSSETTI Gabriele,Italy,M,Shooting,1,0,0,1
SANTUCCIO Alberta,Italy,F,Fencing,1,0,0,1
SPIRITO Ilaria,Italy,F,Volleyball,1,0,0,1
SYLLA Myriam Fatime,Italy,F,Volleyball,1,0,0,1
TITA Ruggero,Italy,M,Sailing,1,0,0,1
STONA Roje,Jamaica,M,Athletics,1,0,0,1
AMI,Japan,F,Breaking,1,0,0,1
FUJINAMI Akari,Japan,F,Wrestling,1,0,0,1
FUMITA Kenichiro,Japan,M,Wrestling,1,0,0,1
HASHIMOTO Daiki,Japan,M,Artistic Gymnastics,1,0,0,1
HIGUCHI Rei,Japan,M,Wrestling,1,0,0,1
HORIGOME Yuto,Japan,M,Skateboarding,1,0,0,1
IIMURA Kazuki,Japan,M,Fencing,1,0,0,1
KAGAMI Yuka,Japan,F,Wrestling,1,0,0,1
KAYA Kazuma,Japan,M,Artistic Gymnastics,1,0,0,1
KITAGUCHI Haruka,Japan,F,Athletics,1,0,0,1
KIYOOKA Kotaro,Japan,M,Wrestling,1,0,0,1
KUSAKA Nao,Japan,M,Wrestling,1,0,0,1
MATSUYAMA Kyosuke,Japan,M,Fencing,1,0,0,1
MOTOKI Sakura,Japan,F,Wrestling,1,0,0,1
NAGANO Yudai,Japan,M,Fencing,1,0,0,1
SAKURAI Tsugumi,Japan,F,Wrestling,1,0,0,1
SHIKINE Takahiro,Japan,M,Fencing,1,0,0,1
SUGINO Takaaki,Japan,M,Artistic Gymnastics,1,0,0,1
TANIGAWA Wataru,Japan,M,Artistic Gymnastics,1,0,0,1
YOSHIZAWA Coco,Japan,F,Skateboarding,1,0,0,1
SMETOV Yeldos,Kazakhstan,M,Judo,1,0,0,1
WANYONYI Emmanuel,Kenya,M,Athletics,1,0,0,1
AN Se Young,Korea,F,Badminton,1,0,0,1
BAN Hyojin,Korea,F,Shooting,1,0,0,1
DO Gyeongdong,Korea,M,Fencing,1,0,0,1
GU Bongil,Korea,M,Fencing,1,0,0,1
JEON Hunyoung,Korea,F,Archery,1,0,0,1
KIM Je Deok,Korea,M,Archery,1,0,0,1
KIM Yujin,Korea,F,Taekwondo,1,0,0,1
OH Ye Jin,Korea,F,Shooting,1,0,0,1
PARK Sangwon,Korea,M,Fencing,1,0,0,1
PARK Taejoon,Korea,M,Taekwondo,1,0,0,1
YANG Jiin,Korea,F,Shooting,1,0,0,1
EL BAKKALI Soufiane,Morocco,M,Athletics,1,0,0,1
ALBERS Felice,Netherlands,F,Hockey,1,0,0,1
BALK Lars,Netherlands,M,Hockey,1,0,0,1
BIJEN Koen,Netherlands,M,Hockey,1,0,0,1
BLAAK Pirmin,Netherlands,M,Hockey,1,0,0,1
BLOK Justen,Netherlands,M,Hockey,1,0,0,1
BOONSTRA Benthe,Netherlands,F,Rowing,1,0,0,1
BOUWMEESTER Marit,Netherlands,F,Sailing,1,0,0,1
BRINKMAN Thierry,Netherlands,M,Hockey,1,0,0,1
BURG Joosje,Netherlands,F,Hockey,1,0,0,1
CLEVERING Ymkje,Netherlands,F,Rowing,1,0,0,1
CROON Jorrit Jan Willem,Netherlands,M,Hockey,1,0,0,1
de GEUS Jonas,Netherlands,M,Hockey,1,0,0,1
de JONG Worthy,Netherlands,M,3x3 Basketball,1,0,0,1
de MOL Joep,Netherlands,M,Hockey,1,0,0,1
de VILDER Derck,Netherlands,M,Hockey,1,0,0,1
de WAARD Xan,Netherlands,F,Hockey,1,0,0,1
DICKE Pien,Netherlands,F,Hockey,1,0,0,1
DRENTH Hermijntje,Netherlands,F,Rowing,1,0,0,1
DRIESSEN Jan,Netherlands,M,3x3 Basketball,1,0,0,1
DUETZ Annette,Netherlands,F,Sailing,1,0,0,1
FLORIJN Finn,Netherlands,M,Rowing,1,0,0,1
FLORIJN Karolien,Netherlands,F,Rowing,1,0,0,1
FOKKE Luna Noa,Netherlands,F,Hockey,1,0,0,1
HOEDEMAKERS Tjep,Netherlands,M,Hockey,1,0,0,1
HOOGLAND Jeffrey,Netherlands,M,Cycling Track,1,0,0,1
JANSEN Yibbi,Netherlands,F,Hockey,1,0,0,1
JANSSEN Jip,Netherlands,M,Hockey,1,0,0,1
JOCHEMS Marleen,Netherlands,F,Hockey,1,0,0,1
KLEIN IKKINK Isaya,Netherlands,M,Athletics,1,0,0,1
KOOLEN Sanne,Netherlands,F,Hockey,1,0,0,1
MATLA Frederique,Netherlands,F,Hockey,1,0,0,1
MEESTER Veronique,Netherlands,F,Rowing,1,0,0,1
METSEMAKERS Koen,Netherlands,M,Rowing,1,0,0,1
MIDDENDORP Floris,Netherlands,M,Hockey,1,0,0,1
MOES Freeke,Netherlands,F,Hockey,1,0,0,1
NUNNINK Laura,Netherlands,F,Hockey,1,0,0,1
OFFEREINS Tinka,Netherlands,F,Rowing,1,0,0,1
OLDENBURG Marloes,Netherlands,F,Rowing,1,0,0,1
OMALLA Eugene,Netherlands,M,Athletics,1,0,0,1
POST Lisa,Netherlands,F,Hockey,1,0,0,1
REYENGA Tijmen,Netherlands,M,Hockey,1,0,0,1
SANDERS Pien,Netherlands,F,Hockey,1,0,0,1
SLAGTER Arvin,Netherlands,M,3x3 Basketball,1,0,0,1
TELGENKAMP Duco,Netherlands,M,Hockey,1,0,0,1
van AANHOLT Odile,Netherlands,F,Sailing,1,0,0,1
van ASS Seve,Netherlands,M,Hockey,1,0,0,1
van DAM Thijs,Netherlands,M,Hockey,1,0,0,1
van den BERG Roy,Netherlands,M,Cycling Track,1,0,0,1
van der HORST Dimeo,Netherlands,M,3x3 Basketball,1,0,0,1
van HEIJNINGEN Steijn,Netherlands,M,Hockey,1,0,0,1
van LAARHOVEN Renee,Netherlands,F,Hockey,1,0,0,1
van LIEROP Lennart,Netherlands,M,Rowing,1,0,0,1
van ROUWENDAAL Sharon,Netherlands,F,Marathon Swimming,1,0,0,1
VEEN Marijn,Netherlands,F,Hockey,1,0,0,1
VEENENDAAL Anne,Netherlands,F,Hockey,1,0,0,1
VERSCHOOR Maria,Netherlands,F,Hockey,1,0,0,1
WIETEN Tone,Netherlands,M,Rowing,1,0,0,1
WORTELBOER Floris,Netherlands,M,Hockey,1,0,0,1
AARDAHL Maren,Norway,F,Handball,1,0,0,1
BRATTSET DALE Kari,Norway,F,Handball,1,0,0,1
BREISTOEL Kristine,Norway,F,Handball,1,0,0,1
HERREM Camilla,Norway,F,Handball,1,0,0,1
INGEBRIGTSEN Jakob,Norway,M,Athletics,1,0,0,1
INGSTAD Vilde,Norway,F,Handball,1,0,0,1
JACOBSEN Marit,Norway,F,Handball,1,0,0,1
KOANDA Solfrid Eila Amena,Norway,F,Weightlifting,1,0,0,1
KRISTIANSEN Veronica,Norway,F,Handball,1,0,0,1
LUNDE Katrine,Norway,F,Handball,1,0,0,1
MOERK Nora,Norway,F,Handball,1,0,0,1
OFTEDAL Stine Bredal,Norway,F,Handball,1,0,0,1
REISTAD Henny,Norway,F,Handball,1,0,0,1
ROOTH Markus,Norway,M,Athletics,1,0,0,1
RUSHFELDT DEILA Thale,Norway,F,Handball,1,0,0,1
SKOGRAND Stine,Norway,F,Handball,1,0,0,1
SOLBERG-ISAKSEN Sanna,Norway,F,Handball,1,0,0,1
SOLBERG-OESTHASSEL Silje,Norway,F,Handball,1,0,0,1
BLYDE Michaela,New Zealand,F,Rugby Sevens,1,0,0,1
BRETT Olivia,New Zealand,F,Canoe Sprint,1,0,0,1
BUTCHER Finn,New Zealand,M,Canoe Slalom,1,0,0,1
FELIX-HOTHAM Jazmin,New Zealand,F,Rugby Sevens,1,0,0,1
FRANCIS Brooke,New Zealand,F,Rowing,1,0,0,1
HIRINI Sarah,New Zealand,F,Rugby Sevens,1,0,0,1
KERR Hamish,New Zealand,M,Athletics,1,0,0,1
KING Tyla,New Zealand,F,Rugby Sevens,1,0,0,1
KO Lydia,New Zealand,F,Golf,1,0,0,1
MILLER Jorja,New Zealand,F,Rugby Sevens,1,0,0,1
NUKU Manaia,New Zealand,F,Rugby Sevens,1,0,0,1
PAUL Mahina,New Zealand,F,Rugby Sevens,1,0,0,1
POURI-LANE Risi,New Zealand,F,Rugby Sevens,1,0,0,1
SAILI Alena,New Zealand,F,Rugby Sevens,1,0,0,1
SETEFANO Theresa,New Zealand,F,Rugby Sevens,1,0,0,1
SPOORS Lucy,New Zealand,F,Rowing,1,0,0,1
VAUGHAN Tara,New Zealand,F,Canoe Sprint,1,0,0,1
WAAKA Stacey,New Zealand,F,Rugby Sevens,1,0,0,1
WOODMAN-WICKLIFFE Portia,New Zealand,F,Rugby Sevens,1,0,0,1
NADEEM Arshad,Pakistan,M,Athletics,1,0,0,1
MIROSLAW Aleksandra,Poland,F,Sport Climbing,1,0,0,1
OLIVEIRA Rui,Portugal,M,Cycling Track,1,0,0,1
ADAM Adriana,Romania,F,Rowing,1,0,0,1
BERES Amalia,Romania,F,Rowing,1,0,0,1
CORNEA Andrei Sebastian,Romania,M,Rowing,1,0,0,1
ENACHE Marian Florian,Romania,M,Rowing,1,0,0,1
LEHACI Maria,Romania,F,Rowing,1,0,0,1
PETREANU Victoria Stefania,Romania,F,Rowing,1,0,0,1
RUSU Maria Magdalena,Romania,F,Rowing,1,0,0,1
GARNBRET Janja,Slovenia,F,Sport Climbing,1,0,0,1
LESKI Andreja,Slovenia,F,Judo,1,0,0,1
ARUNOVIC Zorana,Serbia,F,Shooting,1,0,0,1
CUK Milos,Serbia,M,Water Polo,1,0,0,1
DEDOVIC Nikola,Serbia,M,Water Polo,1,0,0,1
DJOKOVIC Novak,Serbia,M,Tennis,1,0,0,1
DRASOVIC Radomir,Serbia,M,Water Polo,1,0,0,1
FILIPOVIC Radoslav,Serbia,M,Water Polo,1,0,0,1
JAKSIC Nikola,Serbia,M,Water Polo,1,0,0,1
JAKSIC Petar,Serbia,M,Water Polo,1,0,0,1
MANDIC Dusan,Serbia,M,Water Polo,1,0,0,1
MIKEC Damir,Serbia,M,Shooting,1,0,0,1
MISOVIC Vladimir,Serbia,M,Water Polo,1,0,0,1
RANDELOVIC Sava,Serbia,M,Water Polo,1,0,0,1
RASOVIC Strahinja,Serbia,M,Water Polo,1,0,0,1
RASOVIC Viktor,Serbia,M,Water Polo,1,0,0,1
UBOVIC Nemanja,Serbia,M,Water Polo,1,0,0,1
VICO Nemanja,Serbia,M,Water Polo,1,0,0,1
LEONE Chiara,Switzerland,F,Shooting,1,0,0,1
AHMAN David,Sweden,M,Beach Volleyball,1,0,0,1
DUPLANTIS Armand,Sweden,M,Athletics,1,0,0,1
HELLVIG Jonatan,Sweden,M,Beach Volleyball,1,0,0,1
WONGPATTANAKIT Panipak,Thailand,F,Taekwondo,1,0,0,1
LEE Yang,Chinese Taipei,M,Badminton,1,0,0,1
LIN Yu Ting,Chinese Taipei,F,Boxing,1,0,0,1
WANG Chi-Lin,Chinese Taipei,M,Badminton,1,0,0,1
KATOUSSI Firas,Tunisia,M,Taekwondo,1,0,0,1
CHEPTEGEI Joshua,Uganda,M,Athletics,1,0,0,1
BAKASTOVA Yuliia,Ukraine,F,Fencing,1,0,0,1
KHYZHNIAK Oleksandr,Ukraine,M,Boxing,1,0,0,1
KOMASHCHUK Alina,Ukraine,F,Fencing,1,0,0,1
KRAVATSKA Olena,Ukraine,F,Fencing,1,0,0,1
MAHUCHIKH Yaroslava,Ukraine,F,Athletics,1,0,0,1
ADEBAYO Bam,United States,M,Basketball,1,0,0,1
ALBERT Korbin,United States,F,Football,1,0,0,1
ALLMAN Valarie,United States,F,Athletics,1,0,0,1
BAILEY Christopher,United States,M,Athletics,1,0,0,1
BEST Justin,United States,M,Rowing,1,0,0,1
BETHUNE Croix,United States,F,Football,1,0,0,1
BOOKER Devin,United States,M,Basketball,1,0,0,1
BUTLER Aaliyah,United States,F,Athletics,1,0,0,1
CHILES Jordan,United States,F,Artistic Gymnastics,1,0,0,1
COFFEY Samantha,United States,F,Football,1,0,0,1
COLLIER Napheesa,United States,F,Basketball,1,0,0,1
COPPER Kahleah,United States,F,Basketball,1,0,0,1
CORRIGAN Liam,United States,M,Rowing,1,0,0,1
CROUSER Ryan,United States,M,Athletics,1,0,0,1
CURRY Stephen,United States,M,Basketball,1,0,0,1
DAVIDSON Tierna,United States,F,Football,1,0,0,1
DAVIS Anthony,United States,M,Basketball,1,0,0,1
DAVIS-WOODHALL Tara,United States,F,Athletics,1,0,0,1
DUBROVICH Jacqueline,United States,F,Fencing,1,0,0,1
DUNN Crystal,United States,F,Football,1,0,0,1
DURANT Kevin,United States,M,Basketball,1,0,0,1
EDWARDS Anthony,United States,M,Basketball,1,0,0,1
ELOR Amit,United States,F,Wrestling,1,0,0,1
EMBIID Joel,United States,M,Basketball,1,0,0,1
FOX Emily,United States,F,Football,1,0,0,1
GIRMA Naomi,United States,F,Football,1,0,0,1
GRADY Michael,United States,M,Rowing,1,0,0,1
GRAY Chelsea,United States,F,Basketball,1,0,0,1
GRINER Brittney,United States,F,Basketball,1,0,0,1
HALIBURTON Tyrese,United States,M,Basketball,1,0,0,1
HALL Quincy,United States,M,Athletics,1,0,0,1
HAYES Quanera,United States,F,Athletics,1,0,0,1
HELD Ryan,United States,M,Swimming,1,0,0,1
HILDEBRANDT Sarah Ann,United States,F,Wrestling,1,0,0,1
HOCKER Cole,United States,M,Athletics,1,0,0,1
HOLIDAY Jrue,United States,M,Basketball,1,0,0,1
HOLLOWAY Grant,United States,M,Athletics,1,0,0,1
HOLMES Alexis,United States,F,Athletics,1,0,0,1
HORAN Lindsey,United States,F,Football,1,0,0,1
IONESCU Sabrina,United States,F,Basketball,1,0,0,1
JAMES LeBron,United States,M,Basketball,1,0,0,1
KING Lilly,United States,F,Swimming,1,0,0,1
KING Matt,United States,M,Swimming,1,0,0,1
KRUEGER Casey,United States,F,Football,1,0,0,1
LAVELLE Rose,United States,F,Football,1,0,0,1
LOYD Jewell,United States,F,Basketball,1,0,0,1
MARKS Caroline,United States,F,Surfing,1,0,0,1
MEAD Nick,United States,M,Rowing,1,0,0,1
MURPHY Casey,United States,F,Football,1,0,0,1
NAEHER Alyssa,United States,F,Football,1,0,0,1
NIGHSWONGER Jenna,United States,F,Football,1,0,0,1
PLUM Kelsey,United States,F,Basketball,1,0,0,1
REEVES Olivia,United States,F,Weightlifting,1,0,0,1
RIVERA Hezly,United States,F,Artistic Gymnastics,1,0,0,1
RODMAN Trinity,United States,F,Football,1,0,0,1
RUSSELL Masai,United States,F,Athletics,1,0,0,1
SAMS Emily,United States,F,Football,1,0,0,1
SCHEFFLER Scottie,United States,M,Golf,1,0,0,1
SHAW Jaedyn,United States,F,Football,1,0,0,1
SMITH Sophia,United States,F,Football,1,0,0,1
SONNETT Emily,United States,F,Football,1,0,0,1
STEWART Breanna,United States,F,Basketball,1,0,0,1
SWANSON Mallory,United States,F,Football,1,0,0,1
TATUM Jayson,United States,M,Basketball,1,0,0,1
TAURASI Diana,United States,F,Basketball,1,0,0,1
TERRY Twanisha,United States,F,Athletics,1,0,0,1
THOMAS Alyssa,United States,F,Basketball,1,0,0,1
WEBER Emma,United States,F,Swimming,1,0,0,1
WEINTRAUB Maia Mei,United States,F,Fencing,1,0,0,1
WHITE Derrick,United States,M,Basketball,1,0,0,1
WILLIAMS Lily,United States,F,Cycling Track,1,0,0,1
WILLIAMS Lynn,United States,F,Football,1,0,0,1
WILSON A'ja,United States,F,Basketball,1,0,0,1
WILSON Quincy,United States,M,Athletics,1,0,0,1
YOUNG Jackie,United States,F,Basketball,1,0,0,1
DUSMATOV Hasanboy,Uzbekistan,M,Boxing,1,0,0,1
JALOLOV Bakhodir,Uzbekistan,M,Boxing,1,0,0,1
JAMALOV Razambek Salambekovitch,Uzbekistan,M,Wrestling,1,0,0,1
KELDIYOROVA Diyora,Uzbekistan,F,Judo,1,0,0,1
KHALOKOV Abdumalik,Uzbekistan,M,Boxing,1,0,0,1
MULLOJONOV Lazizbek,Uzbekistan,M,Boxing,1,0,0,1
MUYDINKHUJAEV Asadkhuja,Uzbekistan,M,Boxing,1,0,0,1
RASHITOV Ulugbek,Uzbekistan,M,Taekwondo,1,0,0,1
ANDREEVA Mirra,AIN,F,Tennis,0,1,0,1
BARDZILOUSKAYA Viyaleta,AIN,F,Trampoline Gymnastics,0,1,0,1
SHNAIDER Diana,AIN,F,Tennis,0,1,0,1
ZALATY Yauheni,AIN,M,Rowing,0,1,0,1
BOSCO Eugenia,Argentina,F,Sailing,0,1,0,1
MAJDALANI Mateo,Argentina,M,Sailing,0,1,0,1
ALEKSANYAN Artur,Armenia,M,Wrestling,0,1,0,1
DAVTYAN Artur,Armenia,M,Artistic Gymnastics,0,1,0,1
LALAYAN Varazdat,Armenia,M,Weightlifting,0,1,0,1
ANDREWS Abby,Australia,F,Water Polo,0,1,0,1
ANDREWS Charlize,Australia,F,Water Polo,0,1,0,1
ARANCINI Zoe,Australia,F,Water Polo,0,1,0,1
ARMIT Elle,Australia,F,Water Polo,0,1,0,1
BURTON Christopher,Australia,M,Equestrian,0,1,0,1
CARTWRIGHT Jack,Australia,M,Swimming,0,1,0,1
COLLINS Jackson,Australia,M,Canoe Sprint,0,1,0,1
FITZSIMMONS Riley,Australia,M,Canoe Sprint,0,1,0,1
GOFERS Keesja,Australia,F,Water Polo,0,1,0,1
GREEN Sienna,Australia,F,Water Polo,0,1,0,1
HALLIGAN Bronte,Australia,F,Water Polo,0,1,0,1
HAVARD Noah,Australia,M,Canoe Sprint,0,1,0,1
HEARN Sienna,Australia,F,Water Polo,0,1,0,1
HULL Jessica,Australia,F,Athletics,0,1,0,1
JACKOVICH Danijela,Australia,F,Water Polo,0,1,0,1
JOHNSON Moesha,Australia,F,Marathon Swimming,0,1,0,1
KEARNS Tilly,Australia,F,Water Polo,0,1,0,1
KEENEY Maddison,Australia,F,Diving,0,1,0,1
LONGMAN Genevieve,Australia,F,Water Polo,0,1,0,1
MORRIS Grae,Australia,M,Sailing,0,1,0,1
OLYSLAGERS Nicola,Australia,F,Athletics,0,1,0,1
PALM Gabriella,Australia,F,Water Polo,0,1,0,1
PERKINS Alexandria,Australia,F,Swimming,0,1,0,1
RAMSAY Ella,Australia,F,Swimming,0,1,0,1
ROBINSON Jack,Australia,M,Surfing,0,1,0,1
STRAUCH Jenna,Australia,F,Swimming,0,1,0,1
van der WESTHUYZEN Pierre,Australia,M,Canoe Sprint,0,1,0,1
WILLIAMS Alice,Australia,F,Water Polo,0,1,0,1
YANG William,Australia,M,Swimming,0,1,0,1
ALFONSO DOMINGUEZ Loren Berto,Azerbaijan,M,Boxing,0,1,0,1
MAGOMEDOV Gashim,Azerbaijan,M,Taekwondo,0,1,0,1
ABDI Bashir,Belgium,M,Athletics,0,1,0,1
KEBINATSHIPI Busang Collen,Botswana,M,Athletics,0,1,0,1
NDORI Bayapo,Botswana,M,Athletics,0,1,0,1
PESELA Anthony,Botswana,M,Athletics,0,1,0,1
ADRIANA,Brazil,F,Football,0,1,0,1
ANA VITORIA,Brazil,F,Football,0,1,0,1
ANGELINA,Brazil,F,Football,0,1,0,1
ANTONIA,Brazil,F,Football,0,1,0,1
BONFIM Caio,Brazil,M,Athletics,0,1,0,1
DUDA SAMPAIO,Brazil,F,Football,0,1,0,1
GABI NUNES,Brazil,F,Football,0,1,0,1
GABI PORTILHO,Brazil,F,Football,0,1,0,1
JHENIFFER,Brazil,F,Football,0,1,0,1
KEROLIN,Brazil,F,Football,0,1,0,1
LAUREN,Brazil,F,Football,0,1,0,1
LORENA,Brazil,F,Football,0,1,0,1
LUCIANA,Brazil,F,Football,0,1,0,1
LUDMILA,Brazil,F,Football,0,1,0,1
MARTA,Brazil,F,Football,0,1,0,1
PRISCILA,Brazil,F,Football,0,1,0,1
QUEIROZ Isaquias,Brazil,M,Canoe Sprint,0,1,0,1
